Age,Height,Male,,,Female,,Weight,Male,,,Female,,BMI,Male,,,Female,
(years),L,M,S,L,M,S,L,M,S,L,M,S,L,M,S,L,M,S
10.917,1,142.98,0.04623,1,143.65,0.04774,-1.027,34.3143,0.17001,-0.61,35.7048,0.18911,-1.839,16.85,0.11223,-1.324,17.427,0.12774
11,1,143.37,0.04638,1,144.12,0.04785,-1.018,34.585,0.1706,-0.597,36.03,0.18961,-1.837,16.892,0.11249,-1.322,17.478,0.12789
11.083,1,143.77,0.04654,1,144.59,0.04793,-1.007,34.8568,0.17119,-0.584,36.3582,0.19004,-1.834,16.935,0.11273,-1.321,17.53,0.12803
11.167,1,144.16,0.0467,1,145.06,0.048,-0.996,35.1298,0.17176,-0.57,36.6911,0.1904,-1.831,16.977,0.11296,-1.319,17.581,0.12816
11.25,1,144.55,0.04687,1,145.53,0.04805,-0.985,35.405,0.17233,-0.556,37.029,0.19066,-1.829,17.02,0.11319,-1.318,17.634,0.12827
11.333,1,144.95,0.04704,1,146,0.04808,-0.973,35.6823,0.17289,-0.541,37.3731,0.19082,-1.826,17.065,0.11341,-1.316,17.687,0.12838
11.417,1,145.34,0.04721,1,146.47,0.04809,-0.96,35.9633,0.17343,-0.526,37.7197,0.19089,-1.823,17.108,0.11362,-1.314,17.739,0.12849
11.5,1,145.75,0.04738,1,146.93,0.04808,-0.947,36.25,0.17397,-0.511,38.074,0.19084,-1.819,17.154,0.11382,-1.312,17.793,0.12858
11.583,1,146.16,0.04755,1,147.4,0.04805,-0.933,36.5432,0.17449,-0.496,38.4331,0.19067,-1.816,17.199,0.11402,-1.311,17.846,0.12866
11.667,1,146.58,0.04774,1,147.87,0.04799,-0.918,36.8423,0.175,-0.48,38.7977,0.19039,-1.813,17.244,0.1142,-1.309,17.9,0.12875
11.75,1,147.02,0.04792,1,148.34,0.04792,-0.903,37.149,0.1755,-0.465,39.168,0.19,-1.809,17.291,0.11438,-1.307,17.954,0.12882
11.833,1,147.46,0.0481,1,148.82,0.04782,-0.887,37.4638,0.17599,-0.449,39.5443,0.1895,-1.806,17.338,0.11456,-1.306,18.008,0.12888
11.917,1,147.91,0.04829,1,149.28,0.0477,-0.87,37.7877,0.17647,-0.434,39.9272,0.18891,-1.802,17.386,0.11472,-1.304,18.062,0.12894
12,1,148.36,0.04848,1,149.76,0.04755,-0.852,38.122,0.17692,-0.418,40.316,0.18821,-1.799,17.433,0.11488,-1.302,18.117,0.12899
12.083,1,148.83,0.04868,1,150.24,0.04739,-0.834,38.4653,0.17736,-0.403,40.7118,0.18743,-1.795,17.481,0.11503,-1.3,18.172,0.12903
12.167,1,149.31,0.04887,1,150.71,0.04721,-0.816,38.8201,0.17778,-0.388,41.1136,0.18656,-1.791,17.53,0.11517,-1.299,18.227,0.12907
